experiment_name,experiment_version,response,Q1,Q2,FOLLOWED_INSTRUCTIONS,paper_name,experiment_type,decoding_strategy,model_name,run_uid,collection_uid
Experiment A,Pen Not Mentioned,"{'Q1': 5, 'Q2': 2}",5.0,2.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,{},,,False,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 1, 'Q2': 2}",1.0,2.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 5, 'Q2': 5}",5.0,5.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 7, 'Q2': 5}",7.0,5.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 1, 'Q2': 5}",1.0,5.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 6, 'Q2': 5}",6.0,5.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,mistralai_Mistral-7B-Instruct-v0.2,20240825_020835_76879c18,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 2, 'Q2': 4}",2.0,4.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 2, 'Q2': 1}",2.0,1.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 2, 'Q2': 4}",2.0,4.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment B,Used Comb,{},,,False,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,{},,,False,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-13b-chat-hf,20240825_014850_4070bfef,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-70b-chat-hf,20240825_014810_3fa70d1f,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Turbo,20240825_014601_8c80ad05,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,{},,,False,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 2, 'Q2': 2}",2.0,2.0,True,gerrig,standard,deterministic,meta-llama_Llama-2-7b-chat-hf,20240825_014828_d9c0d653,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 7}",1.0,7.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-8B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 11, 'Q2': 1, 'Q3': 2, 'Q4': 1, 'Q5': 2, 'Q6': 1, 'Q7': 2, 'Q8': 2, 'Q9': 1, 'Q10': 1, 'Q11': 1, 'Q12': 1, 'Q13': 2, 'Q14': 1, 'Q15': 1, 'Q16': 1, 'Q17': 1, 'Q18': 1, 'Q19': 1, 'Q20': 1, 'Q21': 1, 'Q22': 1, 'Q23': 1, 'Q24': 1, 'Q25': 1, 'Q26': 1, 'Q27': 1, 'Q28': 1, 'Q29': 1, 'Q30': 1, 'Q31': 1, 'Q32': 1, 'Q33': 1, 'Q34': 1, 'Q35': 1, 'Q36': 1, 'Q37': 1, 'Q38': 1, 'Q39': 1, 'Q40': 1, 'Q41': 1}",,1.0,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 11, 'Q2': 11, 'Q3': 11, 'Q4': 11, 'Q5': 11, 'Q6': 11, 'Q7': 11, 'Q8': 11, 'Q9': 11, 'Q10': 11, 'Q11': 11, 'Q12': 11, 'Q13': 11, 'Q14': 11, 'Q15': 11, 'Q16': 11, 'Q17': 11, 'Q18': 11, 'Q19': 11, 'Q20': 11, 'Q21': 11, 'Q22': 11, 'Q23': 11, 'Q24': 11, 'Q25': 11, 'Q26': 11, 'Q27': 11, 'Q28': 11, 'Q29': 11, 'Q30': 11, 'Q31': 11, 'Q32': 11, 'Q33': 11, 'Q34': 11, 'Q35': 11, 'Q36': 11, 'Q37': 11, 'Q38': 11, 'Q39': 11, 'Q40': 11, 'Q41': 11}",,,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 11, 'Q2': 22, 'Q3': 1, 'Q4': 1, 'Q5': 1, 'Q6': 1, 'Q7': 1, 'Q8': 1, 'Q9': 1, 'Q10': 1, 'Q11': 1, 'Q12': 1, 'Q13': 1, 'Q14': 1, 'Q15': 1, 'Q16': 1, 'Q17': 1, 'Q18': 1, 'Q19': 1, 'Q20': 1, 'Q21': 1, 'Q22': 1, 'Q23': 1, 'Q24': 1, 'Q25': 1, 'Q26': 1, 'Q27': 1, 'Q28': 1, 'Q29': 1, 'Q30': 1, 'Q31': 1, 'Q32': 1, 'Q33': 1, 'Q34': 1, 'Q35': 1, 'Q36': 1, 'Q37': 1, 'Q38': 1, 'Q39': 1, 'Q40': 1, 'Q41': 1}",,,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 12222, 'Q2': 12}",,,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 1, 'Q3': 1, 'Q4': 1, 'Q5': 1, 'Q6': 1, 'Q7': 1, 'Q8': 1, 'Q9': 1, 'Q10': 1, 'Q11': 1, 'Q12': 1, 'Q13': 1, 'Q14': 1, 'Q15': 1, 'Q16': 1, 'Q17': 1, 'Q18': 1, 'Q19': 1, 'Q20': 1, 'Q21': 1, 'Q22': 1, 'Q23': 1, 'Q24': 1, 'Q25': 1, 'Q26': 1, 'Q27': 1, 'Q28': 1, 'Q29': 1, 'Q30': 1, 'Q31': 1, 'Q32': 1, 'Q33': 1, 'Q34': 1, 'Q35': 1, 'Q36': 1, 'Q37': 1, 'Q38': 1, 'Q39': 1, 'Q40': 1, 'Q41': 1}",1.0,1.0,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 2, 'Q2': 3, 'Q3': 3, 'Q4': 12, 'Q5': 1, 'Q6': 12, 'Q7': 3, 'Q8': 12, 'Q9': 3, 'Q10': 3, 'Q11': 3, 'Q12': 3, 'Q13': 3, 'Q14': 3, 'Q15': 3, 'Q16': 3, 'Q17': 3, 'Q18': 3, 'Q19': 3, 'Q20': 3}",2.0,3.0,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 11, 'Q2': 6, 'Q3': 2, 'Q4': 1, 'Q5': 2, 'Q6': 2, 'Q7': 16, 'Q8': 2, 'Q9': 2, 'Q10': 1, 'Q11': 1, 'Q12': 1, 'Q13': 1, 'Q14': 1, 'Q15': 1, 'Q16': 1, 'Q17': 1, 'Q18': 1, 'Q19': 1, 'Q20': 1}",,6.0,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 1, 'Q3': 2, 'Q4': 1, 'Q5': 2, 'Q6': 1, 'Q7': 2, 'Q8': 1, 'Q9': 2, 'Q10': 1, 'Q11': 2, 'Q12': 1, 'Q13': 2, 'Q14': 1, 'Q15': 2}",1.0,1.0,False,gerrig,standard,deterministic,Qwen_Qwen1.5-32B-Chat,20240825_021103_c604d70d,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Llama-3-8b-chat-hf,20240825_014756_2a1c9a59,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment B,Unused Comb,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment B,Used Comb,"{'Q1': 1, 'Q2': 6}",1.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment C,Prior Solution Not Mentioned,"{'Q1': 2, 'Q2': 6}",2.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned and Removed,"{'Q1': 6, 'Q2': 7}",6.0,7.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment C,Prior Solution Mentioned Not Removed,"{'Q1': 6, 'Q2': 7}",6.0,7.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3.1-70B-Instruct-Turbo,1_1_1_1,20240825_203411_5db1e5d2
Experiment A,Pen Not Mentioned,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Lite,20240825_014642_a41ec352,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Lite,20240825_014642_a41ec352,20240825_203411_5db1e5d2
Experiment A,Pen Mentioned Not Removed,"{'Q1': 3, 'Q2': 6}",3.0,6.0,True,gerrig,standard,deterministic,meta-llama_Meta-Llama-3-70B-Instruct-Lite,20240825_014642_a41ec352,20240825_203411_5db1e5d2
